29,20
29,18
29,28
29,23
29,25
29,15
29,24
28,0
28,11
28,10
28,1
28,8
28,2
28,14
28,16
28,9
27,19
27,8
27,9
27,29
27,28
27,7
27,25
27,26
27,11
27,12
27,14
26,2
26,15
26,12
26,29
26,9
25,22
25,12
25,4
25,26
25,11
25,0
25,10
25,9
24,27
24,25
24,7
24,9
24,6
24,8
23,1
23,9
23,13
23,21
23,26
23,11
23,4
23,6
22,16
22,29
22,3
22,23
22,24
22,5
22,15
22,26
22,20
21,16
21,1
21,17
21,9
20,13
20,8
20,26
20,3
20,6
20,16
20,19
20,15
20,23
20,17
20,21
20,4
20,7
20,12
20,25
20,0
19,18
19,25
19,22
19,21
19,16
19,2
19,14
19,8
19,9
19,13
19,29
19,10
19,11
18,20
18,17
18,25
18,1
18,24
18,15
18,10
17,4
17,12
17,0
17,8
17,10
17,6
17,13
17,19
17,15
17,28
17,9
16,27
16,10
16,17
15,28
15,4
15,0
15,12
15,11
14,20
14,13
14,21
14,7
14,17
14,4
14,10
14,3
13,4
13,3
13,8
13,6
13,24
13,5
13,26
12,22
12,6
12,10
12,14
12,21
12,28
12,23
12,18
11,13
11,9
11,3
11,1
11,12
11,10
11,8
11,29
11,20
11,14
11,16
11,18
11,17
10,27
10,8
10,13
10,29
10,20
10,1
10,9
10,15
10,6
10,0
9,16
9,5
9,3
9,15
9,20
9,18
9,6
8,12
8,23
8,15
8,4
8,6
7,10
7,29
7,16
7,18
7,11
7,13
7,19
7,12
7,23
7,28
7,5
7,6
7,17
6,0
6,16
6,29
6,18
6,15
6,11
6,19
6,5
6,2
6,28
6,14
6,1
5,29
5,8
5,10
5,11
5,27
5,4
5,20
5,23
5,3
5,12
5,17
5,14
4,1
4,11
4,10
4,24
4,19
4,6
4,3
4,9
4,28
3,12
3,0
3,15
3,16
3,8
3,17
3,6
2,13
2,16
2,23
2,4
2,3
2,29
2,7
2,24
2,27
1,5
1,3
1,26
1,12
1,15
1,2
0,4
0,2
0,29
0,27
0,22
0,26
0,12
0,8
0,21
0,24
0,9
0,11
0,1
